time,elastic,external,fracture,mobility,plastic,plastic_strain,stress,total_strain
23,1378133407.2571,6381125553.6577,1179191280.3698,12.9375,3840032498.7051,0.011849168553391,251.40268156332,0.0232645
23.1,1385117422.9391,6405743976.4065,1196825636.934,12.9375,3840032498.7051,0.011849168553391,250.43438072086,0.023366805
23.2,1392039254.0405,6430266111.2266,1214425890.608,12.9375,3840032498.7051,0.011849168553391,249.47210224811,0.02346912
23.3,1398899489.0379,6454692558.7189,1231992053.5104,12.9375,3840032498.7051,0.011849168553391,248.51579164,0.023571445
23.4,1405698709.1406,6479023914.0513,1249524139.5905,12.9375,3840032498.7051,0.011849168553391,247.56539501549,0.02367378
23.5,1412437488.42,6503260767.0214,1267022164.5749,12.9375,3840032498.7051,0.011849168553391,246.62085911062,0.023776125
23.6,1419116393.8996,6527403702.1172,1284486145.9225,12.9375,3840032498.7051,0.011849168553391,245.68213127047,0.02387848
23.7,1425735985.6634,6551453298.5787,1301916102.7856,12.9375,3840032498.7051,0.011849168553391,244.7491594404,0.023980845
23.8,1432296816.9701,6575410130.4573,1319312055.9505,12.9375,3840032498.7051,0.011849168553391,243.82189216104,0.02408322
23.9,1438799434.3467,6599274766.6751,1336674027.807,12.9375,3840032498.7051,0.011849168553391,242.90027855844,0.024185605
24,1445244377.6892,6623047771.0836,1354002042.3043,12.9375,3840032498.7051,0.011849168553391,241.98426833703,0.024288
24.1,1451632180.3723,6646729702.5209,1371296124.9035,12.9375,3840032498.7051,0.011849168553391,241.07381177322,0.024390405
24.2,1457963369.327,6670321114.8691,1388556302.5506,12.9375,3840032498.7051,0.011849168553391,240.16885970586,0.02449282
24.3,1464238465.1511,6693822557.1103,1405782603.6218,12.9375,3840032498.7051,0.011849168553391,239.26936353166,0.024595245
24.4,1470457982.2102,6717234573.3822,1422975057.8896,12.9375,3840032498.7051,0.011849168553391,238.37527519726,0.02469768
24.5,1476622428.7087,6740557703.0328,1440133696.4907,12.9375,3840032498.7051,0.011849168553391,237.48654719115,0.024800125
